"","CELLCODE","maxm2LAU2","COMMUNE","m2_sh_of_LAU2","Pop2021EU","SumPop2021EU","Pop2021EU_sh_of_LAU2","SumSurf2012_m2","SumSurf2018_m2","LAU2Surf2012_m2","LAU2Surf2018_m2","Urban2012_sh_of_LAU2","Urban2018_sh_of_LAU2","artifLand_capita18"
"1635","1kmE4014N2975","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1636","1kmE4014N2976","0704","Rambrouch",0.0111111111111111,127,6322,0.0200885795634293,473.77933037281,473.77933037281,1022057.45673308,1041495.54002311,0.000463554497109394,0.000454902889322307,3.73054590844733
"1637","1kmE4014N2977","0704","Rambrouch",0.0111111111111111,1014,6322,0.160392280923758,11614.9046466645,11614.9046466645,1022057.45673308,1041495.54002311,0.0113642384487762,0.0111521405520438,11.4545410716613
"1638","1kmE4014N2978","0704","Rambrouch",0.0111111111111111,197,6322,0.0311610249920911,16580.6193323645,16580.6193323645,1022057.45673308,1041495.54002311,0.0162227859335453,0.0159200099234189,84.1655803673324
"1854","1kmE4014N2984","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1851","1kmE4014N2985","0801","Boulaide",0.027027027027027,5,1439,0.00347463516330785,0,0,347807.354471137,388607.200150133,0,0,0
"1641","1kmE4015N2973","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1642","1kmE4015N2974","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1643","1kmE4015N2975","0704","Rambrouch",0.0111111111111111,133,6322,0.0210376463144574,24832.143524658,24832.143524658,1022057.45673308,1041495.54002311,0.0242962304722396,0.0238427747123208,186.70784605006
"1644","1kmE4015N2976","0704","Rambrouch",0.0111111111111111,68,6322,0.0107560898449858,1814.02058499511,1814.02058499511,1022057.45673308,1041495.54002311,0.00177487143510843,0.00174174589835964,26.6767733087517
"1645","1kmE4015N2977","0704","Rambrouch",0.0111111111111111,140,6322,0.0221448908573236,37552.3054337929,37552.3054337929,1022057.45673308,1041495.54002311,0.0367418731563543,0.0360561365754476,268.230753098521
"1646","1kmE4015N2978","0704","Rambrouch",0.0111111111111111,57,6322,0.00901613413476748,163.997052518767,163.997052518767,1022057.45673308,1041495.54002311,0.000160457762367851,0.00015746303869446,2.87714127225908
"1647","1kmE4015N2979","0704","Rambrouch",0.0111111111111111,144,6322,0.0227776020246757,0,0,1022057.45673308,1041495.54002311,0,0,0
"1648","1kmE4015N2980","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1649","1kmE4015N2981","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1650","1kmE4015N2982","0704","Rambrouch",0.0111111111111111,121,6322,0.0191395128124011,0,0,1022057.45673308,1041495.54002311,0,0,0
"1859","1kmE4015N2984","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1855","1kmE4015N2985","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1861","1kmE4015N2986","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1654","1kmE4016N2973","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1655","1kmE4016N2974","0704","Rambrouch",0.0111111111111111,129,6322,0.0204049351471053,19690.1600658424,19690.1600658394,1022057.45673308,1041495.54002311,0.0192652183457281,0.0189056595147805,152.636899735189
"1656","1kmE4016N2975","0704","Rambrouch",0.0111111111111111,675,6322,0.106770009490668,107402.865721844,107402.865721844,1022057.45673308,1041495.54002311,0.105084958790035,0.10312369241587,159.115356624954
"1657","1kmE4016N2976","0704","Rambrouch",0.0111111111111111,0,6322,0,118.307928473502,118.307928473502,1022057.45673308,1041495.54002311,0.000115754674743691,0.000113594272780925,Inf
"1658","1kmE4016N2977","0704","Rambrouch",0.0111111111111111,313,6322,0.0495096488453021,66247.1377286896,66247.1377286896,1022057.45673308,1041495.54002311,0.0648174300693845,0.0636077017931535,211.652197216261
"1659","1kmE4016N2978","0704","Rambrouch",0.0111111111111111,1,6322,0.000158177791838026,0,0,1022057.45673308,1041495.54002311,0,0,0
"1660","1kmE4016N2979","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1661","1kmE4016N2980","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1662","1kmE4016N2981","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1663","1kmE4016N2982","0704","Rambrouch",0.0111111111111111,14,6322,0.00221448908573236,0,0,1022057.45673308,1041495.54002311,0,0,0
"1867","1kmE4016N2983","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1858","1kmE4016N2984","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1863","1kmE4016N2985","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1877","1kmE4016N2986","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"2027","1kmE4016N2987","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"2028","1kmE4016N2988","0806","Lac de la Haute Sûre",0.0175438596491228,6,2224,0.00269784172661871,0,0,547635.834790329,576001.985106738,0,0,0
"403","1kmE4017N2945","0209","Pétange",0.0526315789473684,152,20694,0.00734512419058664,0,0,1539469.66221608,1539469.66221621,0,0,0
